Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
org.firebirdsql.ds.StatementHandler,16,32,3,6,3,5,3,35,6,93580,0.17142857142857143,0.17142857142857143,2,,,301662,197,301465,53710,0,3,25,2,8,40,50,1372854495045,300,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,11101100000000000000000000000000010,0.2830188679245283,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.ds.StatementHandler-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.17142857142857143
org.firebirdsql.jdbc.AbstractDatabaseMetaData,315,630,35,202,155,31,19,785,54,1380,0.06878980891719745,0.06878980891719745,18,,,71345,9106,62239,1719,7,10,280,18,36,40,50,1372949771064,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,11010100100000000000001000000001000000000010000010000000010000000101000000000000100001000000000000000000000000000010000100100100000001000001000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100010010000000000000000000001010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001010101010101010110000000000000000000000000000000000010010100000101000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000111101,0.013592639063153493,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.jdbc.AbstractDatabaseMetaData-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745,0.06878980891719745
org.firebirdsql.jdbc.field.FBNullField,15,30,6,44,29,16,9,59,15,10384,0.2542372881355932,0.2542372881355932,13,,,63570,2482,61088,7588,1,13,217,13,43,40,50,1372949935172,60,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,00000011101000000110010000101000001100001000000000110001000,0.0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.jdbc.field.FBNullField-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932,0.2542372881355932
org.firebirdsql.jdbc.FBResultSetMetaData,149,298,0,39,17,0,0,315,0,0,0.0,0.0,0,,,61500,485,61015,1047,1,1,0,0,0,40,50,1372950097590,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.jdbc.FBResultSetMetaData-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org.firebirdsql.jdbc.AbstractStatement,73,146,7,80,41,10,3,187,10,1231,0.053475935828877004,0.053475935828877004,2,,,62190,848,61342,1464,1,3,73,2,5,40,50,1372950182374,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0000000000010000000010000010000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000001000000000000000000000000000010100000000011000000,0.03943377148634985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.jdbc.AbstractStatement-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004,0.053475935828877004
org.firebirdsql.ds.FBSimpleDataSource,6,12,10,61,58,61,58,70,68,48720,0.9714285714285714,0.9714285714285714,57,,,68130,7095,61035,13336,0,11,178,57,120,40,50,1372950325912,60,0,0,0,0,76,0,0,3,0,166,0,0,0,0,0,0,0,3,1111111111111111111111111111111111111111111111111111111111011111101111,0.2571428571428571,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/110_firebird/evosuite-report/data/statistics_org.firebirdsql.ds.FBSimpleDataSource-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714
