Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
wheel.components.StandaloneComponent,79,158,33,46,18,40,16,176,49,53285,0.2784090909090909,0.2784090909090909,26,,,332947,31936,301011,30317,2,26,470,26,62,40,50,1372900971059,300,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,3,11011111111111110100000000000000000000000000000000000000000000000011010000000000001000000000000000111011010101111010010100000000100000100010000010000110111000010110000010000110,0.14776119402985075,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.components.StandaloneComponent-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22727272727272727,0.25,0.2727272727272727,0.2784090909090909,0.2784090909090909,0.2784090909090909,0.2784090909090909,0.2784090909090909,0.2784090909090909,0.2784090909090909
wheel.json.JSONTokener,90,180,141,16,3,16,3,183,144,230131,0.7868852459016393,0.7868852459016393,35,,,304617,3616,301001,68626,0,31,307,35,78,40,50,1372901428864,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111111111111111011111111101111111111111101111101011100000011010111111111111111111111111111111111111111111101101111111111111101010101010101010101010101010101010101100101010111,0.5323624595469255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.json.JSONTokener-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7213114754098361,0.7650273224043715,0.8306010928961749,0.8415300546448088,0.8469945355191257,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393
wheel.components.RenderableComponent,64,128,42,20,4,14,2,132,44,14347,0.3333333333333333,0.3333333333333333,10,,,63707,2696,61011,10879,0,10,221,10,43,40,50,1372952095116,60,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,3,110001100101000101111100000010000001010000000000000000000000000000000010101000111101111100000000000000001101111011100000111110010110,0.27514792899408286,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.components.RenderableComponent-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3197060243872993,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
wheel.components.Component,147,294,112,205,170,67,42,464,154,10242,0.33189655172413796,0.33189655172413796,35,,,70120,9087,61033,9828,4,15,384,35,107,40,50,1372952272194,60,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,00000000001000100011000010000000110000100001001000000010000101010000010100001101000100000101001100000001001001001100000000100101000101010010001100100000000001000000011000000000000011101111101001100011111110100101000000000000000000001101110101111100000011100011010111110110111010001000001101100011111101010010111010000010000001011000001111110000001111111000000000000000000000000000111111111100000000000000011000000000000000000000000110110101101000100001101001011100,0.1648068669527897,6,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.components.Component-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3275862068965517,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796,0.33189655172413796
wheel.components.StandaloneComponent,79,158,22,46,18,27,9,176,31,10590,0.17613636363636365,0.17613636363636365,15,,,85108,24083,61025,8363,0,13,310,15,33,40,50,1372952597250,60,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,01010111001001010100000000000000000000000000000000000000000000000011010000000000001000000000000000011010000100000000010000000000100000100010000010000000111000010110000010000110,0.04776119402985075,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.components.StandaloneComponent-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365,0.17613636363636365
wheel.json.JSONTokener,90,180,102,16,3,16,3,183,105,46143,0.5737704918032787,0.5737704918032787,29,,,67350,6341,61009,17414,0,21,548,29,59,40,50,1372953316038,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111111111111011011111101101111111111111101011000000000000011010111111111111111111111111011101111011110111101101111110101011100000000000000000000000000000000000000000000000011,0.5080906148867314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/80_wheelwebtool/evosuite-report/data/statistics_wheel.json.JSONTokener-1.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73224043715847,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
