Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
de.huxhorn.lilith.swing.preferences.ConditionTableModel,36,72,0,20,8,1,1,80,1,1797,0.0125,0.0125,1,,,303475,253,303222,29165,0,4,30,1,1,40,50,1372889859149,300,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,00000100000000000000000000000000000000000000000000000000000000000000000000000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/43_lilith/evosuite-report/data/statistics_de.huxhorn.lilith.swing.preferences.ConditionTableModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
de.huxhorn.lilith.consumers.UserNotificationAccessEventConsumer,5,10,1,2,1,2,1,11,2,1305,0.18181818181818182,0.18181818181818182,1,,,309121,479,308642,33151,0,1,19,1,3,40,50,1372890239780,300,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,10100000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/43_lilith/evosuite-report/data/statistics_de.huxhorn.lilith.consumers.UserNotificationAccessEventConsumer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
de.huxhorn.lilith.logback.appender.MultiplexSocketAppenderBase,13,26,12,24,19,19,15,45,27,5630,0.6,0.6,11,,,427814,121095,306719,5685,0,5,133,11,23,40,50,1372890604731,300,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,111000011111111111111010101000001101000101011,0.1511627906976744,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/43_lilith/evosuite-report/data/statistics_de.huxhorn.lilith.logback.appender.MultiplexSocketAppenderBase-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5111111111111111,0.5111111111111111,0.5454313426454626,0.5842251463051731,0.6,0.6,0.6,0.6,0.6,0.6
de.huxhorn.lilith.swing.preferences.GenericSortedListModel,7,14,11,8,5,8,5,19,16,29613,0.8421052631578947,0.8421052631578947,10,,,699522,1655,697867,44546,0,8,89,10,33,40,50,1372891111680,300,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,7,1111111111111111000,0.24742268041237114,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/43_lilith/evosuite-report/data/statistics_de.huxhorn.lilith.swing.preferences.GenericSortedListModel-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47368421052631576,0.5789473684210527,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947
de.huxhorn.lilith.consumers.UserNotificationLoggingEventConsumer,5,10,5,2,1,2,1,11,6,11952,0.5454545454545454,0.5454545454545454,3,,,303620,549,303071,60852,0,5,33,3,11,40,50,1372892049926,300,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,11111000010,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/43_lilith/evosuite-report/data/statistics_de.huxhorn.lilith.consumers.UserNotificationLoggingEventConsumer-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
