Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
net.sf.xisemele.impl.OperationsImpl,14,28,4,18,7,11,7,35,11,68411,0.3142857142857143,0.3142857142857143,10,,,301453,458,300995,40635,0,12,72,10,27,40,50,1372857930744,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111110000001000100000000010000010,0.0873015873015873,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.OperationsImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143
net.sf.xisemele.impl.ReaderImpl,0,0,0,6,6,1,1,6,1,134906,0.16666666666666666,0.16666666666666666,1,,,301043,45,300998,186943,0,1,3,1,1,40,50,1372858236121,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,000010,0.058823529411764705,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ReaderImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
net.sf.xisemele.impl.ResultImpl,1,2,0,8,7,1,1,9,1,121957,0.1111111111111111,0.1111111111111111,1,,,301050,46,301004,171086,0,1,3,1,1,40,50,1372858540402,300,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,100000000,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ResultImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
net.sf.xisemele.impl.ValidationsImpl,5,10,10,4,1,4,1,11,11,4533,1.0,1.0,6,,,5271,1283,3988,2177,0,9,181,6,18,40,50,1372858844871,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111,0.22641509433962265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ValidationsImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.ValueImpl,2,4,2,42,40,30,28,44,30,146450,0.6818181818181818,0.6818181818181818,17,,,301561,535,301026,105354,1,13,72,17,35,40,50,1372858859702,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10010101101010011010101011111111111111111100,0.125,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ValueImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818
net.sf.xisemele.impl.ValueListImpl,13,26,26,14,1,14,1,27,27,76540,1.0,1.0,26,,,81197,2430,78767,29129,0,13,162,26,93,40,50,1372859165365,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111111111111111111,0.7142857142857143,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.ValueListImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.WithinContextImpl,0,0,0,4,4,4,4,4,4,5560,1.0,1.0,3,,,2371,349,2022,1397,0,1,17,3,6,40,50,1372859251226,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1111,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.WithinContextImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.WriterEditorImpl,18,36,0,25,12,2,2,48,2,63104,0.041666666666666664,0.041666666666666664,2,,,301113,109,301004,48434,0,2,9,2,2,40,50,1372859256535,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,000001000010000000000000000000000000000000000000,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.WriterEditorImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
net.sf.xisemele.impl.WriterImpl,0,0,0,11,11,11,11,11,11,3567,1.0,1.0,10,,,14957,987,13970,3589,0,10,148,10,23,40,50,1372859561343,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11111111111,0.1724137931034483,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.WriterImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.XisemeleFactory,0,0,0,2,2,2,2,2,2,5558,1.0,1.0,2,,,2321,152,2169,1611,0,2,14,2,2,40,50,1372859579711,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.XisemeleFactory-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.impl.XisemeleImpl,0,0,0,11,11,1,1,11,1,111351,0.09090909090909091,0.09090909090909091,1,,,301057,52,301005,152769,1,1,3,1,1,40,50,1372859584998,300,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,00000010000,0.006493506493506494,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.impl.XisemeleImpl-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
net.sf.xisemele.exception.AttributeNotPermittedException,0,0,0,1,1,1,1,1,1,2602,1.0,1.0,1,,,12184,48,12136,1924,0,1,2,1,1,40,50,1372860450103,300,0,0,0,0,89,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.exception.AttributeNotPermittedException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.exception.ChildNotFoundException,0,0,0,1,1,1,1,1,1,2695,1.0,1.0,1,,,3893,49,3844,1441,0,1,3,1,1,40,50,1372860465557,300,0,0,0,0,64,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.exception.ChildNotFoundException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
net.sf.xisemele.exception.ElementIndexOutOfBoundsException,0,0,0,1,1,1,1,1,1,3144,1.0,1.0,1,,,4456,107,4349,1521,0,1,14,1,1,40,50,1372860472673,300,0,0,0,0,88,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/31_xisemele/evosuite-report/data/statistics_net.sf.xisemele.exception.ElementIndexOutOfBoundsException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
