Class,Predicates,Total_Branches,Covered_Branches,Total_Methods,Branchless_Methods,Covered_Methods,Covered_Branchless_Methods,Total_Goals,Covered_Goals,Statements_Executed,Coverage,BranchCoverage,NumberOfGeneratedTestCases,DefUseCoverage,WeakMutationScore,Creation_Time,Minimization_Time,Total_Time,Test_Execution_Time,Goal_Computation_Time,Result_Size,Result_Length,Minimized_Size,Minimized_Length,Chromosome_Length,Population_Size,Random_Seed,Budget,AllPermission,SecurityPermission,UnresolvedPermission,AWTPermission,FilePermission,SerializablePermission,ReflectPermission,RuntimePermission,NetPermission,SocketPermission,SQLPermission,PropertyPermission,LoggingPermission,SSLPermission,AuthPermission,AudioPermission,OtherPermission,Threads,Branches,MutationScore,Explicit_MethodExceptions,Explicit_TypeExceptions,Implicit_MethodExceptions,Implicit_TypeExceptions,Error_Predicates,Error_Branches_Covered,Error_Branchless_Methods,Error_Branchless_Methods_Covered,AssertionContract,EqualsContract,EqualsHashcodeContract,EqualsNullContract,EqualsSymmetricContract,HashCodeReturnsNormallyContract,JCrasherExceptionContract,NullPointerExceptionContract,ToStringReturnsNormallyContract,UndeclaredExceptionContract,Contract_Violations,Unique_Violations,Data_File,Definitions,Uses,DefUsePairs,IntraMethodPairs,InterMethodPairs,IntraClassPairs,ParameterPairs,AliasingIntraMethodPairs,AliasingInterMethodPairs,AliasingIntraClassPairs,AliasingParameterPairs,CoveredIntraMethodPairs,CoveredInterMethodPairs,CoveredIntraClassPairs,CoveredParameterPairs,CoveredAliasIntraMethodPairs,CoveredAliasInterMethodPairs,CoveredAliasIntraClassPairs,CoveredAliasParameterPairs,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10
org.jsecurity.JSecurityException,0,0,0,4,4,4,4,4,4,2980,1.0,1.0,3,,,11388,326,11062,1382,0,4,43,3,5,40,50,1372889819903,300,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,0,0,3,1111,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.JSecurityException-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
org.jsecurity.web.attr.AbstractWebAttribute,17,34,13,20,15,19,15,49,28,182604,0.5714285714285714,0.5714285714285714,7,,,301365,359,301006,60542,1,8,43,7,16,40,50,1372889886484,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1111111111111110001011111010000001111110000000000,0.2013888888888889,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.web.attr.AbstractWebAttribute-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5124355905384023,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
org.jsecurity.web.attr.CookieAttribute,12,24,3,16,12,13,12,36,15,70340,0.4166666666666667,0.4166666666666667,6,,,301561,402,301159,19837,1,6,47,6,13,40,50,1372890268908,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,111111111111000000111000000000000000,0.2242152466367713,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.web.attr.CookieAttribute-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3611111111111111,0.3611111111111111,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
org.jsecurity.realm.AuthenticatingRealm,6,12,3,11,9,6,5,21,8,175650,0.38095238095238093,0.38095238095238093,5,,,301356,354,301002,72623,0,3,22,5,15,40,50,1372890757969,300,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,3,011101001110100000000,0.20930232558139536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.realm.AuthenticatingRealm-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.38095238095238093
org.jsecurity.authc.AbstractAuthenticator,12,24,13,9,4,8,4,28,17,149739,0.6071428571428571,0.6071428571428571,8,,,590141,626,589515,71183,0,6,35,8,28,40,50,1372891227389,300,0,0,0,0,54,0,0,9,0,732,0,0,0,0,0,0,0,3,1111001111111000100101010011,0.2857142857142857,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.authc.AbstractAuthenticator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571
org.jsecurity.authc.pam.ModularRealmAuthenticator,15,30,21,13,8,13,8,38,29,366324,0.7631578947368421,0.7631578947368421,9,,,302217,1191,301026,136871,0,8,67,9,39,40,50,1372892007031,300,0,0,0,0,85,0,0,14,0,3369,0,0,0,0,0,0,0,3,11111111111111111111100011011101011000,0.35714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.authc.pam.ModularRealmAuthenticator-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7368421052631579,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.7631578947368421
org.jsecurity.web.filter.AccessControlFilter,2,4,1,9,8,6,5,12,6,138290,0.5,0.5,3,,,301160,134,301026,61878,1,3,16,3,5,40,50,1372892437790,300,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,3,000111111000,0.03571428571428571,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/scratch/gordon/test_sf110/sf110/18_jsecurity/evosuite-report/data/statistics_org.jsecurity.web.filter.AccessControlFilter-0.csv.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
